NAME,CO2,GNP,origin
ISR,9.062859759,29370,0
CYP,6.845621918,27272,0
CZE,10.88337627,26725,0
SVN,7.95767309,26004,0
PRT,4.865900676,25133,0
GRC,8.275699644,24349,0
MLT,6.346745561,23871,0
RUS,11.95293244,23130,0
SVK,7.011814785,22483,0
EST,14.37555927,21997,0
POL,8.655700483,21837,0
SYC,3.710521158,21545,0
KAZ,13.64056204,21302,0
HUN,5.087589737,20886,0
LTU,4.567266891,20243,0
ARG,4.567022448,20003,0
HRV,4.82260244,19813,0
CHL,4.552099113,19705,0
MYS,7.601825575,19390,0
LVA,3.767123517,18428,0
IRN,7.670259797,18024,0
TUR,4.696200171,17919,0
BLR,6.629639979,17918,0
VEN,5.968642108,17746,0
URY,2.260679417,17211,0
ROU,4.402669048,17174,0
PAN,2.670287824,16762,0
TKM,12.01807729,16518,0
MUS,3.130890479,16483,0
GAB,2.912009656,16403,0
LBN,4.416412982,16230,0
AZE,3.651348583,16176,0
MNE,4.106480608,15747,0
MEX,4.085172062,15210,0
BGR,7.22062662,15112,0
BRA,2.165192377,14831,0
BWA,2.017398056,13376,0
THA,4.084635496,13318,0
DZA,3.253892605,13204,0
LBY,6.339647708,12893,0
SRB,5.443458154,12463,0
CRI,1.648620786,12366,0
BRB,5.360499927,11870,0
ZAF,8.97236304,11838,0
COL,1.632160543,11788,0
DOM,2.072450498,11679,0
JOR,2.804479169,11615,0
IRQ,4.186650251,11484,0
MKD,4.531417214,11321,0
EGY,2.482852855,10737,0
TUN,2.37182646,10437,0
UKR,6.737517454,10333,0
LCA,2.339638271,10255,0
CHN,6.865327041,10221,0
PER,1.636132406,10044,0
ECU,2.501981468,9985,0
MNG,7.758959209,9484,0
ALB,1.789021543,9484,0
BIH,6.441355048,8961,0
GEO,1.866444874,8946,0
DMA,1.78811456,8944,0
LKA,0.732788083,8918,0
IDN,2.447322076,8849,0
ARM,1.727955498,8465,0
NAM,1.247874072,8203,0
AGO,1.244588375,8016,0
SLV,1.049723192,7607,0
UZB,3.888967004,7396,0
SWZ,0.85525171,7389,0
PRY,0.833819499,7377,0
MAR,1.755918792,7226,0
JAM,2.755831253,7141,0
CUB,3.150413751,6928,0
GTM,0.770659812,6650,0
CPV,1.211556744,6295,0
SYR,2.690728913,5979,0
COG,0.498258218,5875,0
PHL,0.876749014,5851,0
BOL,1.572801958,5331,0
NGA,0.578506282,5136,0
MDA,1.21727899,4892,0
